Index,Company,Symbol,Weight,Price,Change,Percent Change
464,Stanley Black & Decker,SWK,0.02%,78.82,-0.50,(-0.63%)
465,"UDR, Inc.",UDR,0.02%,36.90,0.47,(1.28%)
466,Zebra Technologies,ZBRA,0.02%,236.39,0.16,(0.07%)
467,Healthpeak Properties,DOC,0.02%,17.20,0.05,(0.32%)
468,Assurant,AIZ,0.02%,236.38,-0.91,(-0.38%)
469,Align Technology,ALGN,0.02%,161.50,-3.42,(-2.07%)
470,Camden Property Trust,CPT,0.02%,108.48,1.27,(1.18%)
471,EPAM Systems,EPAM,0.02%,205.81,-12.54,(-5.74%)
472,Wynn Resorts,WYNN,0.02%,107.72,-5.16,(-4.57%)
473,Pinnacle West,PNW,0.02%,93.33,-0.35,(-0.37%)
474,Dayforce,DAY,0.02%,69.27,-0.09,(-0.14%)
475,J.M. Smucker Company (The),SJM,0.02%,103.70,0.34,(0.33%)
476,Globe Life,GL,0.02%,138.43,-0.12,(-0.08%)
477,AES Corporation,AES,0.02%,15.09,-0.10,(-0.69%)
478,Charles River Laboratories,CRL,0.02%,212.97,-3.91,(-1.81%)
479,Norwegian Cruise Line Holdings,NCLH,0.02%,22.80,2.01,(9.65%)
480,A. O. Smith,AOS,0.02%,73.77,4.28,(6.15%)
481,"BXP, Inc.",BXP,0.02%,64.64,0.49,(0.76%)
482,Baxter International,BAX,0.02%,19.52,-0.09,(-0.48%)
483,Generac,GNRC,0.02%,170.36,-3.81,(-2.19%)
484,Bio-Techne,TECH,0.02%,63.47,-2.09,(-3.19%)
485,News Corp (Class A),NWSA,0.02%,26.60,0.01,(0.03%)
486,Molina Healthcare,MOH,0.02%,187.08,0.08,(0.04%)
487,APA Corporation,APA,0.02%,27.07,1.06,(4.07%)
488,Pool Corporation,POOL,0.02%,253.73,-4.75,(-1.84%)
489,Molson Coors Beverage Company,TAP,0.02%,47.77,0.03,(0.07%)
490,FactSet,FDS,0.01%,253.44,-16.43,(-6.09%)
491,Alexandria Real Estate Equities,ARE,0.01%,54.15,-0.46,(-0.84%)
492,MGM Resorts,MGM,0.01%,33.19,0.44,(1.33%)
493,Mosaic Company (The),MOS,0.01%,28.11,-0.03,(-0.12%)
494,Henry Schein,HSIC,0.01%,74.38,-0.70,(-0.94%)
495,Federal Realty Investment Trust,FRT,0.01%,100.70,0.89,(0.89%)
496,Conagra Brands,CAG,0.01%,17.89,0.21,(1.16%)
497,Skyworks Solutions,SWKS,0.01%,55.24,-0.04,(-0.07%)
498,Campbell Soup Company,CPB,0.01%,27.13,0.14,(0.54%)
499,DaVita,DVA,0.01%,106.67,0.79,(0.74%)
500,Paycom,PAYC,0.01%,134.50,-5.16,(-3.69%)
501,Match Group,MTCH,0.01%,30.92,-0.44,(-1.41%)
502,Lamb Weston,LW,0.01%,45.87,0.40,(0.88%)
503,News Corp (Class B),NWS,0.01%,30.55,-0.06,(-0.19%)
